0,6976673,0,0,003443064;0,7396098,0,04159697,0,1785458;0,6829779,0,05249422,0,354115;0,572643,0,08273189,0,4992437;0,4203057,0,1348798,0,5899321;0,2451911,0,1935061,0,5829834;0,09509221,0,2480988,0,4900295;0,00225922,0,2730766,0,3322049;0,0,2514833,0,1486863;0,08929725,0,1876959,0;0,227414,0,06493028,0,00168437;0,3124348,0,02234129,0,1601397;0,3391256,0,1296427,0,3082088;0,3488489,0,2829822,0,4108876;0,3635678,0,4595673,0,4633422;0,3911936,0,6421784,0,4697064;0,4288098,0,8146677,0,4150903;0,4911754,1,0,3165874;0,4911754,1,0,3165874;0,4911754,1,0,3165874;Air
0,684005,0,0;0,7379701,0,02438801,0,1657522;0,7340623,0,05689402,0,3386941;0,6544949,0,0919045,0,4917435;0,5217403,0,1372908,0,5980312;0,3630219,0,1961339,0,6462681;0,2018753,0,264878,0,6293319;0,07296041,0,3187573,0,5222863;0,0,3358235,0,3630182;0,0006553581,0,292778,0,1923504;0,08247963,0,1968529,0,06953357;0,2191733,0,09052685,0,1010043;0,3455439,0,08099406,0,2231534;0,3711011,0,2012252,0,3491381;0,3798344,0,355445,0,4335229;0,3893442,0,5244396,0,4818054;0,4043071,0,6997561,0,4863912;0,435353,1,0,3999762;0,435353,1,0,3999762;0,435353,1,0,3999762;Air
0,644832,0,0;0,7346541,0,03576707,0,1630273;0,7336042,0,06694474,0,3499819;0,6604207,0,1137429,0,5184434;0,5283356,0,1795204,0,6374058;0,3600153,0,2543359,0,6820835;0,1947403,0,3247299,0,6216348;0,06260891,0,3442638,0,4871548;0,0,3485291,0,3083054;0,04642794,0,3186762,0,1269813;0,1920557,0,2195786,0,05699999;0,3002761,0,113559,0,1709007;0,4213105,0,133282,0,3154236;0,4465935,0,2837908,0,4278204;0,4486586,0,461398,0,4939764;0,4553412,0,6505439,0,5041918;0,4879462,1,0,426013;0,4879462,1,0,426013;0,4879462,1,0,426013;0,4879462,1,0,426013;Air
0,7284504,0,0;0,7707227,0,03012447,0,1654824;0,7427271,0,0707631,0,3317461;0,6640164,0,1198793,0,4782762;0,5423719,0,1813101,0,5855503;0,3885511,0,2486072,0,6290143;0,2265699,0,3034022,0,600058;0,08911815,0,3498943,0,5050614;0,001610905,0,3357332,0,355995;0,0,2920849,0,1881525;0,06521162,0,2209597,0,04404316;0,2006375,0,1187495,0,008102082;0,3365469,0,0691504,0,1037443;0,4148103,0,1433232,0,2395827;0,4167203,0,2872658,0,336308;0,4115372,0,4547347,0,3810979;0,4095736,0,6277482,0,3929874;0,4199884,0,7979152,0,3611504;0,4392404,1,0,3174905;0,4392404,1,0,3174905;Air
0,6927016,0,0,06218994;0,6791192,0,02783635,0,2308107;0,6208585,0,07086207,0,386203;0,507507,0,1268392,0,5020059;0,3571323,0,1954771,0,5474876;0,2039518,0,2688938,0,5242924;0,06788444,0,3238121,0,4356247;0,0,3506881,0,2805063;0,01658916,0,3274031,0,1114652;0,1098066,0,2364177,0;0,2334247,0,1225863,0,0339598;0,3404966,0,1062152,0,1668504;0,3543618,0,2308401,0,2837636;0,35662,0,3867382,0,3550587;0,3595301,0,5563259,0,3800362;0,3739502,0,7255805,0,3568574;0,4316712,1,0,2770586;0,4316712,1,0,2770586;0,4316712,1,0,2770586;0,4316712,1,0,2770586;Air
0,712445,0,0,07695863;0,7131278,0,03362134,0,2473851;0,6543146,0,07405985,0,4057574;0,5380271,0,1233839,0,5250068;0,3812967,0,1792042,0,5749639;0,2203346,0,2421234,0,5574012;0,08162922,0,299595,0,4700292;0,003301713,0,3416359,0,3207864;0,0,3253185,0,1478734;0,08745465,0,2541067,0,01574995;0,2266715,0,1514098,0;0,3049844,0,09391632,0,1440057;0,351296,0,159847,0,2979032;0,3640374,0,295994,0,4050372;0,3671211,0,4604709,0,4608397;0,360965,0,6340693,0,4621505;0,3626877,0,8039177,0,425755;0,3963446,1,0,338034;0,3963446,1,0,338034;0,3963446,1,0,338034;Air
0,7194971,0,0,3655119;0,6137293,0,05939202,0,4874972;0,4787294,0,1198182,0,5753514;0,321369,0,1853234,0,5986195;0,1685069,0,2492988,0,5524137;0,04880091,0,3022419,0,4407797;0,0,2861437,0,276603;0,01081876,0,2292663,0,1146074;0,09424658,0,1318005,0;0,2264686,0,02690692,0,03330626;0,334212,0,00710903,0,1659489;0,3706535,0,08935907,0,3125831;0,3631895,0,2227657,0,4209418;0,3459569,0,385277,0,4746799;0,337801,0,5564705,0,4895434;0,3507204,0,7258109,0,4621286;0,4181944,1,0,360747;0,4181944,1,0,360747;0,4181944,1,0,360747;0,4181944,1,0,360747;Air
0,771696,0,05605403,0,5442647;0,6623859,0,09640399,0,6488562;0,5282978,0,1347557,0,72003;0,3771385,0,1653163,0,7471061;0,2252005,0,1839812,0,714202;0,1033706,0,1558046,0,6199697;0,02875648,0,106774,0,4913426;0,0,04990231,0,3483221;0,02830299,0,01117774,0,1992733;0,1034213,0,0,06234808;0,2335454,0,06079987,0;0,3204768,0,09717735,0,1250433;0,3693857,0,1696488,0,2549356;0,3823805,0,2788562,0,3663854;0,3905001,0,4121234,0,4481786;0,3976974,0,5609142,0,4964039;0,4163694,0,7153189,0,5144804;0,439283,0,8668959,0,482612;0,5258616,1,0,415523;0,5258616,1,0,415523;Air
0,8673148,0,0,377811;0,7803845,0,04761122,0,5231404;0,6455972,0,09721617,0,6247087;0,487224,0,1490029,0,6811043;0,3177477,0,195948,0,6768232;0,1611468,0,2390398,0,6092688;0,05356993,0,2464049,0,4702819;0,0,2531071,0,3028611;0,01786713,0,2453926,0,1280307;0,1291178,0,1987474,0;0,2852158,0,1193805,0,01669517;0,3714109,0,05500905,0,1558752;0,4525875,0,127891,0,2938715;0,4467094,0,2754994,0,3893786;0,4375789,0,4404897,0,4497045;0,45056,0,6130205,0,4814695;0,4727165,0,7875221,0,4798425;0,5545171,1,0,4332299;0,5545171,1,0,4332299;0,5545171,1,0,4332299;Air
0,7972103,0,04392427,0,5663087;0,6601565,0,07566386,0,6695189;0,4929534,0,0906195,0,7170888;0,3195532,0,1083345,0,7092119;0,1602896,0,1302077,0,6413876;0,05502941,0,1460847,0,5031426;0,0,1529309,0,3377087;0,0121888,0,1309133,0,1650526;0,09742082,0,1074935,0,01461832;0,2664198,0,06663885,0;0,3364124,0,0,1452714;0,4296651,0,02305891,0,2909274;0,4558727,0,178442,0,3658457;0,4470165,0,339942,0,4312887;0,4370024,0,5086075,0,4748217;0,4399867,0,6821582,0,4925624;0,4628229,0,8536826,0,470172;0,5253179,1,0,4042746;0,5253179,1,0,4042746;0,5253179,1,0,4042746;Air
