0,05072029,0,3229286,0,07839528;0,02178581,0,2257484,0,0613183;0,0,1259969,0,07347678;0,02187312,0,1148831,0,173331;0,05408048,0,1101275,0,270865;0,1071704,0,1077073,0,3588901;0,1820075,0,1053678,0,4293653;0,2695422,0,1019947,0,4832087;0,3643433,0,09978161,0,5229661;0,4657888,0,09881156,0,5397199;0,5684695,0,09828973,0,5343159;0,6654511,0,09465516,0,5003427;0,7536296,0,0894803,0,4477064;0,8240032,0,07773734,0,3736627;0,8741543,0,05896012,0,285884;1,0,0;1,0,0;1,0,0;1,0,0;1,0,0;Fire
0,08508896,0,5380971,0,3568508;0,04074169,0,4397524,0,313876;0,01188968,0,3352197,0,272335;0,0,2209338,0,2555247;0,0473966,0,1452644,0,3297735;0,1025784,0,1298336,0,4307787;0,1703964,0,1072823,0,5223066;0,2511782,0,07878447,0,6007118;0,3453385,0,04952785,0,6620557;0,4560687,0,02842249,0,6899588;0,5713562,0,0148395,0,693041;0,6854091,0,008081044,0,6722698;0,7896646,0,007552817,0,6211256;0,8793939,0,01015129,0,5474569;0,9434763,0,01484273,0,4507272;0,9764552,0,01423575,0,3393844;1,0,0;1,0,0;1,0,0;1,0,0;Fire
0,06220959,0,8624877,0,4076579;0,03833554,0,7369937,0,3650323;0,01802464,0,6044716,0,352343;0,001288703,0,4708477,0,3518761;0,0,3361852,0,3516691;0,01920012,0,2116136,0,3990918;0,08713669,0,1473028,0,495965;0,1738992,0,1074367,0,5909315;0,2775641,0,07517247,0,6706075;0,3978802,0,04865204,0,7249801;0,5305701,0,03227077,0,7411264;0,6637154,0,02637639,0,7218069;0,7831009,0,03052685,0,6596333;0,8837329,0,03912436,0,570555;0,9494933,0,04507512,0,4531846;0,9773532,0,03836675,0,3216001;1,0,0;1,0,0;1,0,0;1,0,0;Fire
0,01718037,0,7737973,0,356406;0,0,6631744,0,3099271;0,002378517,0,5444468,0,2856169;0,009498875,0,4243556,0,2707742;0,0153765,0,3044403,0,2874672;0,05117129,0,2180988,0,3646474;0,1112888,0,1794936,0,4625678;0,1966743,0,1530782,0,5444484;0,3006986,0,1242365,0,5995845;0,4167272,0,09730197,0,622052;0,5358326,0,07487674,0,6200773;0,6487555,0,05629252,0,580128;0,7472521,0,04056527,0,5112516;0,82718,0,03080784,0,4206468;0,8875306,0,02370616,0,3157647;1,0,0;1,0,0;1,0,0;1,0,0;1,0,0;Fire
0,1231438,0,7700376,0,3000131;0,05387402,0,6635818,0,2785456;0,01586533,0,5545642,0,2214275;0,0,436224,0,1730966;0,007652806,0,3123326,0,1386824;0,04482634,0,1957732,0,1789817;0,09643344,0,1343525,0,2797596;0,1677969,0,1098579,0,3841591;0,2682401,0,08837388,0,4618868;0,3857904,0,0682057,0,5105401;0,511558,0,0500869,0,5316639;0,6373918,0,03707207,0,5074061;0,7530886,0,02977317,0,4512548;0,8456204,0,02799504,0,361663;0,9063281,0,02103029,0,2482696;1,0,0;1,0,0;1,0,0;1,0,0;1,0,0;Fire
0,04843372,0,7568527,0,2583925;0,009811632,0,6329215,0,2399038;0,0006644268,0,5062357,0,207354;0,0,3761241,0,1911369;0,01601449,0,2460945,0,1964573;0,07888313,0,1520055,0,2626937;0,150997,0,1321271,0,3703825;0,234885,0,1363029,0,4710693;0,3423013,0,1407993,0,546129;0,4705481,0,1343344,0,572651;0,6003989,0,1185713,0,563555;0,722258,0,1009732,0,5184647;0,8213001,0,08485652,0,4340647;0,8908179,0,06686198,0,3243563;0,9313628,0,04383536,0,201807;1,0,0;1,0,0;1,0,0;1,0,0;1,0,0;Fire
0,1243177,0,7204225,0,4106715;0,05188832,0,6358581,0,3993483;0,01177135,0,5320857,0,387211;0,0,4213056,0,3765066;0,02479593,0,312223,0,3799039;0,09643037,0,2392216,0,4253428;0,1822133,0,1948577,0,4818983;0,2781824,0,1653245,0,5313262;0,3816195,0,1397709,0,5655775;0,4903764,0,1168894,0,5787589;0,6005626,0,09964515,0,5694287;0,7081444,0,08633142,0,5416029;0,8052992,0,07774069,0,4867163;0,8848857,0,07346243,0,4081475;0,9282578,0,06503268,0,3053215;1,0,0;1,0,0;1,0,0;1,0,0;1,0,0;Fire
0,1207067,0,7593786,0,2868325;0,05285425,0,6737055,0,2777203;0,01483544,0,571744,0,2641083;0,0,4645629,0,2462478;0,002495535,0,3550169,0,2417424;0,03310497,0,2553196,0,2756597;0,08955291,0,1836532,0,3365236;0,1694991,0,1377516,0,3959249;0,2643286,0,1053969,0,4405051;0,3662005,0,07798038,0,4704604;0,4734303,0,05589935,0,4768664;0,5805743,0,04096066,0,4588701;0,6815977,0,03302673,0,4169394;0,7705951,0,02873037,0,3530029;0,8376098,0,02312371,0,2663746;1,0,0;1,0,0;1,0,0;1,0,0;1,0,0;Fire
0,0,9302665,0,3731743;0,01096766,0,811555,0,3326381;0,005941141,0,6963463,0,2820654;0,03024565,0,5762336,0,2531154;0,04927574,0,4517946,0,2560635;0,07014069,0,3378054,0,3053285;0,1139719,0,2641522,0,3975777;0,1966552,0,2212638,0,4823123;0,3018156,0,1919805,0,5450791;0,4191438,0,1627661,0,5802433;0,5421215,0,1358358,0,5775715;0,6589891,0,1088502,0,5392357;0,765314,0,08590803,0,4757961;0,8498227,0,06429005,0,3849841;0,9071304,0,04569955,0,2744123;0,9395639,0,02448528,0,1546044;1,0,0;1,0,0;1,0,0;1,0,0;Fire
0,03291197,0,8916993,0,5445415;0,002509641,0,788613,0,4601504;0,005261781,0,6610935,0,4111181;0,0,5305808,0,3709724;0,003116293,0,3942011,0,3629839;0,06913761,0,2793894,0,396635;0,1717813,0,2069524,0,4503944;0,293698,0,169107,0,4991486;0,4247252,0,1448971,0,5294582;0,5604054,0,1296849,0,5351511;0,6917576,0,1177879,0,4994022;0,8073093,0,1059704,0,4274223;0,9038163,0,09434689,0,3313795;0,9612446,0,08176168,0,2080242;0,9816121,0,04252885,0,07872263;1,0,0;1,0,0;1,0,0;1,0,0;1,0,0;Fire
0,005578593,0,7820863,0,6134764;0,0,6830673,0,5465379;0,0150791,0,5666179,0,5235418;0,0523355,0,4534391,0,5126245;0,08315027,0,3380916,0,5205028;0,1299644,0,230003,0,5415254;0,195621,0,1356703,0,5748007;0,297249,0,07917204,0,6030202;0,4120939,0,05257295,0,6235096;0,5317309,0,05226208,0,6216266;0,6456436,0,06567978,0,5875598;0,7523069,0,08041832,0,5353835;0,8461705,0,09111445,0,4619541;0,9131328,0,08633068,0,3629095;0,9519692,0,06892738,0,2510813;1,0,0;1,0,0;1,0,0;1,0,0;1,0,0;Fire
0,03263101,0,7288223,0,4891095;0,01184345,0,6294675,0,4417063;0,0,5284529,0,3947344;0,004848896,0,4279061,0,3455674;0,02170743,0,3173681,0,33866;0,06721192,0,2196403,0,3691428;0,1434761,0,1670539,0,432143;0,2280981,0,1383961,0,4997331;0,327127,0,1223656,0,5496017;0,4354378,0,1064671,0,5734047;0,5454212,0,08618576,0,5668563;0,6522564,0,06608049,0,5397899;0,7527536,0,04759213,0,4938653;0,8349175,0,03359263,0,4190075;0,893603,0,02174075,0,3243179;1,0,0;1,0,0;1,0,0;1,0,0;1,0,0;Fire
0,07621218,0,8079579,0,4523419;0,0441023,0,6995011,0,4027638;0,02832356,0,5863483,0,3558664;0,01446109,0,4695895,0,3180889;0,0,3477646,0,3038953;0,03359288,0,2319144,0,3303936;0,1075492,0,2073493,0,4262003;0,19948,0,2045769,0,5086195;0,3072028,0,1899491,0,5672175;0,4259906,0,1655117,0,5905449;0,5461726,0,1373662,0,5945488;0,6645072,0,1079096,0,5750257;0,7715173,0,08005737,0,5200259;0,8579727,0,05581643,0,4352336;0,9107454,0,03875281,0,3248897;1,0,0;1,0,0;1,0,0;1,0,0;1,0,0;Fire
0,07847052,0,8073755,0,4502295;0,0295079,0,7007902,0,4474988;0,005495666,0,5885479,0,423203;0,0,4755723,0,3920337;0,03332672,0,3636363,0,4032085;0,1158378,0,305243,0,4627683;0,2151284,0,2804665,0,5201504;0,3189208,0,2584062,0,5702073;0,4295119,0,2354607,0,6019615;0,5433719,0,2072284,0,6039806;0,6540926,0,1779599,0,5784958;0,7572255,0,1481908,0,5311393;0,8413612,0,1200465,0,454365;0,9059047,0,09401991,0,3599088;0,9433725,0,06716894,0,2520181;1,0,0;1,0,0;1,0,0;1,0,0;1,0,0;Fire
0,001959383,0,7279482,0,414357;0,0,6713399,0,3235315;0,01966871,0,5920691,0,2543442;0,06122429,0,4948709,0,2375148;0,07406364,0,3889055,0,2295107;0,09259498,0,2842163,0,2419341;0,1405219,0,2030011,0,2925768;0,209595,0,1553023,0,3589948;0,2923788,0,1295836,0,4217879;0,3901624,0,1128604,0,4619913;0,4947825,0,09634975,0,4774712;0,6002029,0,0816733,0,4661252;0,702567,0,06940126,0,4373398;0,7912555,0,05865825,0,3783777;0,8582538,0,04531447,0,2959716;1,0,0;1,0,0;1,0,0;1,0,0;1,0,0;Fire
0,03813862,0,8276298,0,6268209;0,06263276,0,7005742,0,6129041;0,04144974,0,5911223,0,5457602;0,01015974,0,4654087,0,5581608;0,0,3356931,0,555445;0,04609729,0,2307689,0,617111;0,1380865,0,2328422,0,709146;0,2451865,0,2365329,0,7829885;0,369414,0,223745,0,8196051;0,4979689,0,2062834,0,8298761;0,6247013,0,1865862,0,8077928;0,7458578,0,1671952,0,7644123;0,8558182,0,1485935,0,6973345;0,9397485,0,1251612,0,6006733;0,9874114,0,1002053,0,4821735;1,0,07657685,0,3548158;0,9814675,0,0;0,9814675,0,0;0,9814675,0,0;0,9814675,0,0;Fire
0,1785904,0,8787773,0,7791899;0,101453,0,7542695,0,8165347;0,05428226,0,6108075,0,8101633;0,01822907,0,4682265,0,7752656;0,0,3211453,0,7455695;0,01050836,0,1710613,0,73103;0,1000849,0,05786273,0,7758533;0,2267509,0,1147333,0,8355901;0,3712474,0,1392003,0,8725922;0,5223742,0,1410083,0,8747006;0,6638711,0,1269217,0,8234442;0,7902929,0,106729,0,7430901;0,8909225,0,08243685,0,632951;0,9709822,0,058106,0,5070722;1,0,03649694,0,3603138;0,9313787,0,0;0,9313787,0,0;0,9313787,0,0;0,9313787,0,0;0,9313787,0,0;Fire
