0,0,2795757,0,2181486;0,01380283,0,2008937,0,2511397;0,02799724,0,1174229,0,2337927;0,03254922,0,04726979,0,1835176;0,04090624,0,0,1116461;0,03895871,0,02550742,0,02909097;0,03461868,0,1067765,0;0,02906377,0,1928024,0,006201419;0,03231742,0,2766008,0,02710607;0,04024214,0,3618099,0,03920542;0,04729065,0,4479303,0,04104348;0,05146366,0,5339387,0,03363277;0,04241773,0,6197343,0,02843026;0,03023848,0,7052773,0,0264682;0,02536059,0,7912769,0,03354343;0,02927056,0,8770949,0,04301648;0,005131311,0,9600535,0,04079359;0,002244192,1,0,03058298;0,002244192,1,0,03058298;0,002244192,1,0,03058298;Lightning
0,001777872,0,1124237,0,2522556;0,01538799,0,04797591,0,2146831;0,008681401,0,00639607,0,151623;0,0,0,07656196;0,01220226,0,03695886,0,0114806;0,0157654,0,1118317,0;0,01152251,0,1871765,0,007455382;0,01021576,0,2592738,0,03092285;0,01365068,0,3333326,0,04685785;0,01915218,0,4086246,0,05401963;0,02208773,0,484381,0,05234818;0,01873549,0,5600666,0,04905014;0,01477943,0,6357857,0,05023974;0,01665711,0,7111549,0,05838694;0,01530562,0,7867357,0,06440121;0,02429875,1,0,07464325;0,02429875,1,0,07464325;0,02429875,1,0,07464325;0,02429875,1,0,07464325;0,02429875,1,0,07464325;Lightning
0,008302048,0,1139806,0,2548326;0,009275103,0,06205252,0,2023658;0,01386028,0,01870583,0,1427815;0,01594207,0,0,07139523;0,008914627,0,06374216,0,03481926;0,009311065,0,1373674,0,02939572;0,007161773,0,2105352,0,03899228;0,007483327,0,2835517,0,0498891;0,01193339,0,357125,0,05406244;0,01774568,0,4304494,0,04773849;0,02007521,0,5034432,0,03693508;0,01227895,0,5758076,0,02457098;0,0122105,0,6492993,0,01755591;0,01188631,0,7229958,0,01320131;0,1,0;0,1,0;0,1,0;0,1,0;0,1,0;0,1,0;Lightning
0,0,240547,0,2530493;0,01041284,0,1604509,0,2408742;0,001931051,0,09077178,0,1991019;0,005411827,0,03380966,0,1406617;0,01761962,0,0,06731375;0,01311547,0,06379806,0,01650458;0,01060153,0,1451014,0,00905483;0,006731366,0,2255449,0,02268958;0,008075926,0,3065923,0,03276708;0,01305573,0,3881151,0,03389471;0,01498351,0,469003,0,02269229;0,01287563,0,5495925,0,009541691;0,008608115,0,6309485,0,003623587;0,008389028,0,7125949,0,006048082;0,007336128,0,794257,0,007540113;0,01578353,1,0;0,01578353,1,0;0,01578353,1,0;0,01578353,1,0;0,01578353,1,0;Lightning
0,0,2923395,0,2810483;0,03439564,0,2086438,0,2965981;0,04180336,0,1188035,0,2791721;0,06050516,0,05139796,0,2197032;0,08225374,0,004143994,0,1440468;0,08467983,0,0,0523584;0,1013628,0,07355335,0;0,1048232,0,1652046,0,004230032;0,1081169,0,2546679,0,02460879;0,1020646,0,3458879,0,03310038;0,09582607,0,4372866,0,02700362;0,0844955,0,5283536,0,02413287;0,07576905,0,6193982,0,03216704;0,07305944,0,7104396,0,04374111;0,07349826,0,8009742,0,05900847;0,06089433,1,0,06023232;0,06089433,1,0,06023232;0,06089433,1,0,06023232;0,06089433,1,0,06023232;0,06089433,1,0,06023232;Lightning
0,0,2461734,0,28567;0,02167318,0,1579457,0,2879769;0,02325279,0,08326998,0,236206;0,02759513,0,03373627,0,1601355;0,03132346,0,0,07583165;0,02869544,0,05116542,0,0007692279;0,01783699,0,1413911,0;0,02020261,0,2274543,0,02909812;0,02286809,0,3111518,0,06440818;0,0270887,0,3993714,0,08582495;0,03388303,0,4899032,0,08994893;0,036736,0,5794383,0,07463565;0,02598834,0,6689355,0,06306391;0,02534994,0,7597771,0,06562982;0,0154935,0,8451522,0,09517816;0,04247481,0,9311894,0,1065267;0,01105956,1,0,156899;0,01739065,0,9749327,0,1269253;0,01739065,0,9749327,0,1269253;0,01739065,0,9749327,0,1269253;Lightning
0,0,2593434,0,3897439;0,02987467,0,1653669,0,3717416;0,02586424,0,08385146,0,3135409;0,03759682,0,02489403,0,2333253;0,04138548,0,0,136299;0,05030075,0,03563914,0,04303301;0,0666981,0,1246754,0;0,07327881,0,2227767,0,01951955;0,08096077,0,3204477,0,04072198;0,09134972,0,4199297,0,04732294;0,09838866,0,5196381,0,03978273;0,09098904,0,6196024,0,04053216;0,0917488,0,7184213,0,05733732;0,1042269,0,8145888,0,08271998;0,1144052,0,9044563,0,1259452;0,1146338,1,0,1551758;0,1146338,1,0,1551758;0,1146338,1,0,1551758;0,1146338,1,0,1551758;0,1146338,1,0,1551758;Lightning
0,003818899,0,1901897,0,3046031;0,0107526,0,11542,0,2716529;0,01929135,0,05886915,0,2128873;0,021825,0,01713206,0,1423472;0,03127282,0,0,06271344;0,03444984,0,05273749,0;0,03946285,0,1339615,0,01009164;0,04380961,0,2119556,0,03503835;0,04613134,0,2900146,0,06005264;0,05062133,0,3704563,0,07532632;0,05153359,0,4524444,0,07652039;0,04480782,0,5335834,0,06674603;0,03565708,0,6145858,0,05784819;0,03026646,0,6964054,0,05875527;0,02975115,0,778373,0,06106678;0,1,0,04872321;0,1,0,04872321;0,1,0,04872321;0,1,0,04872321;0,1,0,04872321;Lightning
0,06901268,0,0599649,0,2222095;0,05667872,0,01866606,0,1598139;0,06465092,0,0,08674581;0,06569196,0,04599411,0,02645994;0,0653175,0,1217956,0,02424047;0,04609788,0,1936306,0,03911554;0,03175249,0,2647823,0,06108302;0,02807908,0,3366753,0,08493303;0,02577509,0,4119564,0,09378607;0,02683336,0,4875112,0,08736125;0,02245471,0,5615801,0,07169114;0,01843005,0,6362574,0,05911926;0,0133552,0,7116402,0,05259245;0,01623212,0,7870502,0,04511;0,0101781,0,859989,0,02525545;0,1,0;0,1,0;0,1,0;0,1,0;0,1,0;Lightning
0,01757341,0,08383672,0,2437282;0,02256082,0,02279573,0,1915221;0,03147445,0,0,1148588;0,04699326,0,007802131,0,03627986;0,05402236,0,0792914,0;0,04194733,0,1584641,0,007888772;0,03505277,0,2346403,0,03290902;0,03151679,0,312061,0,05458565;0,02899703,0,3918681,0,06462805;0,02501893,0,4722411,0,06379018;0,01422129,0,5517429,0,05752664;0,005526316,0,6316038,0,05273262;0,0004420127,0,7119184,0,05301744;0,0,7923911,0,05354664;0,006060972,0,8725017,0,04886353;0,0002039116,1,0,03640104;0,0002039116,1,0,03640104;0,0002039116,1,0,03640104;0,0002039116,1,0,03640104;0,0002039116,1,0,03640104;Lightning
0,04759955,0,04790001,0,2009698;0,05172234,0,01820315,0,1368769;0,07086837,0,0,07123491;0,07309111,0,02416003,0,00476572;0,06622006,0,09442294,0;0,05228557,0,1624101,0,01379792;0,03829822,0,2292647,0,03228058;0,03118201,0,2971696,0,05085703;0,02967568,0,3665763,0,06454093;0,03047853,0,4370238,0,07112108;0,02845946,0,5077537,0,07116774;0,02362173,0,5783048,0,06872741;0,01842967,0,6488426,0,07079161;0,01564038,0,7195449,0,07123107;0,0124226,0,7902294,0,0716447;0,1,0,06749699;0,1,0,06749699;0,1,0,06749699;0,1,0,06749699;0,1,0,06749699;Lightning
0,0,2572727,0,293993;0,004864453,0,1736918,0,2964518;0,02073951,0,09780569,0,2647538;0,03280274,0,03743275,0,2079642;0,03848379,0,0,1332515;0,04770329,0,01872487,0,05213512;0,04208825,0,1018743,0,04376081;0,04128905,0,1843088,0,05857272;0,04178253,0,2675685,0,06768575;0,04340908,0,3512609,0,06478494;0,03617571,0,4343318,0,05688617;0,03016232,0,5176668,0,05100419;0,02464445,0,6012158,0,04886226;0,02873368,0,6845194,0,04116295;0,01326826,1,0;0,01326826,1,0;0,01326826,1,0;0,01326826,1,0;0,01326826,1,0;0,01326826,1,0;Lightning
0,0,2335199,0,2714434;0,003713833,0,1515765,0,258201;0,0193699,0,08833432,0,2066337;0,02313589,0,03614753,0,1420874;0,02575179,0,0,06731855;0,01615131,0,04774844,0;0,01937267,0,1307531,0,001927673;0,01647044,0,2124606,0,0167374;0,01166429,0,2940709,0,03158795;0,0106035,0,3767878,0,03937654;0,018974,0,4594149,0,04193771;0,01854201,0,5424317,0,03848892;0,01391445,0,6253573,0,03608558;0,01239905,0,7084182,0,03765851;0,01516394,0,7913744,0,03385208;0,01440772,0,8736645,0,02237897;0,04056083,1,0,01383005;0,04056083,1,0,01383005;0,04056083,1,0,01383005;0,04056083,1,0,01383005;Lightning
0,0,1521319,0,3073346;0,007837596,0,0807088,0,2677869;0,01190864,0,03255557,0,2015192;0,01730764,0,0,1264347;0,01657331,0,01958433,0,04679409;0,0261119,0,08626293,0;0,02883939,0,16746,0,01123859;0,02952913,0,2459136,0,03513976;0,03616898,0,3254903,0,05385264;0,04021522,0,4069515,0,06247813;0,03166277,0,4885106,0,06377629;0,02719717,0,5704002,0,06285313;0,02574096,0,6522285,0,06821182;0,02812253,0,7342104,0,0680932;0,02550037,0,8156028,0,05834138;0,0224343,1,0,03677336;0,0224343,1,0,03677336;0,0224343,1,0,03677336;0,0224343,1,0,03677336;0,0224343,1,0,03677336;Lightning
0,01400372,0,1120859,0,2829641;0,02178179,0,05141,0,2443221;0,03602331,0,0113869,0,1857508;0,04948675,0,0,1155771;0,06122497,0,03593869,0,0538852;0,05479513,0,1073365,0,06369743;0,04902344,0,1768255,0,0830166;0,04918332,0,2464243,0,1027967;0,04982596,0,3183202,0,1109106;0,04766509,0,3904719,0,1059378;0,04088134,0,4616063,0,09457362;0,03334981,0,5326448,0,08308157;0,02821266,0,6043373,0,0747716;0,0230009,0,6758406,0,06500448;0,02012944,0,7468011,0,0511612;0,1,0;0,1,0;0,1,0;0,1,0;0,1,0;Lightning
