0,1071715,0,2306933,0;0,08253832,0,2026986,0,2064665;0,05847972,0,2629415,0,4059931;0,03886141,0,276937,0,6144114;0,01410533,0,2792627,0,8227396;0,0578513,0,1758994,1;0,0,3378303,0,8797895;0,05731344,0,5386627,0,8597803;0,1876938,0,7025258,0,8467876;0,3846469,0,7746671,0,8418872;0,582806,0,7081323,0,8599153;0,7202474,0,5513355,0,8832284;0,7673043,0,347847,0,9031517;0,7098345,0,1462928,0,9127431;0,5472296,0,01371425,0,9115059;0,3383618,0,0,8971855;0,1619871,0,1116633,0,8761572;0,08497161,0,305172,0,8508213;0,06637396,0,3799378,0,8300693;0,06637396,0,3799378,0,8300693;Time
0,2049818,0,1869573,0;0,1808193,0,2814414,0,209691;0,1620155,0,3238373,0,436253;0,1437108,0,3578314,0,6642677;0,2022334,0,3379727,0,8871177;0,1700289,0,529155,0,7610479;0,0,3804606,0,7114339;0,145965,0,5592735,0,725631;0,3238682,0,7066121,0,7367287;0,5351577,0,8003166,0,7443157;0,7658485,0,7869948,0,7535729;0,9415879,0,6387262,0,7783396;1,0,4164615,0,8041816;0,9556963,0,1901463,0,8215036;0,794323,0,02454904,0,8257012;0,5645914,0,0,8155971;0,3658644,0,1165536,0,7954928;0,2533844,0,3153749,0,7594405;0,2362391,0,4785308,0,7043175;0,2362391,0,4785308,0,7043175;Time
0,02998125,0,312839,0;0,00514812,0,3049717,0,2006559;0,007104211,0,3219384,0,4022735;0,003656623,0,3199936,0,6045745;0,0,3402984,0,8058597;0,05287991,0,3189772,1;0,0754296,0,4959719,0,9045759;0,1761826,0,671409,0,9011023;0,3423268,0,7868637,0,8983357;0,5400686,0,8294961,0,893643;0,7217659,0,7420669,0,9104834;0,8423143,0,5811104,0,9328989;0,8634883,0,3814752,0,9581736;0,7895413,0,1935263,0,9703563;0,6460533,0,05087882,0,9682903;0,4512375,0,0,9483032;0,2604606,0,06198499,0,9217814;0,1452139,0,2255766,0,8918252;0,107376,0,4375273,0,8323536;0,107376,0,4375273,0,8323536;Time
0,04329585,0,3390818,0;0,03961208,0,3612344,0,1958277;0,04021474,0,4004646,0,3889945;0,03651748,0,4162629,0,5854367;0,02587593,0,4395123,0,7808823;0,06453595,0,4028979,0,9706652;0,04968071,0,5939962,0,9246923;0,1336522,0,770168,0,8970324;0,2984822,0,8780078,0,8896552;0,4950516,0,8819829,0,8756034;0,6372972,0,7481741,0,9023273;0,7366389,0,5809526,0,9342797;0,7713794,0,3890758,0,9630746;0,7167481,0,2013064,0,9877911;0,5862229,0,05410967,1;0,3966849,0,0,9994602;0,20601,0,04907778,0,9901212;0,06377523,0,1835633,0,966976;0,0,3079093,0,9464958;0,0,3079093,0,9464958;Time
0,03852404,0,272837,0;0,007142854,0,2870693,0,2035569;0,003373466,0,2987137,0,4096466;0,0,3052786,0,6159674;0,007433062,0,3246508,0,8213748;0,1109504,0,3246721,1;0,04465292,0,485131,0,8882844;0,06737747,0,6903019,0,8916437;0,1698489,0,8674127,0,8641826;0,3484937,0,97017,0,8519455;0,5493735,0,9239995,0,8637077;0,7104943,0,7971088,0,8874062;0,8101468,0,6169764,0,9030418;0,8455551,0,4137618,0,9115769;0,8018587,0,2121205,0,9189398;0,6594195,0,06269198,0,9211631;0,4627161,0,0,921649;0,2643628,0,05667733,0,9134994;0,1324046,0,2127551,0,8843529;0,08357482,0,2980298,0,8647266;Time
0,01584115,0,2705385,0;0,006491255,0,2937196,0,1750591;0,0,3092224,0,3510932;0,01157847,0,3384416,0,5251123;0,03585125,0,3698425,0,6974356;0,08105693,0,3690982,0,8683928;0,1577898,0,4588873,1;0,238523,0,6151629,0,9818192;0,3808887,0,7147367,0,9488409;0,5551738,0,7166237,0,9189807;0,6900805,0,6023234,0,9165178;0,7521737,0,4373745,0,9308987;0,7425974,0,2611509,0,9420339;0,6626775,0,1036778,0,9512819;0,5194224,1,966188E-05,0,9531381;0,3425896,0,0,9523273;0,2044625,0,109951,0,942219;0,1344507,0,2700356,0,9149836;0,1181258,0,3248758,0,898076;0,1181258,0,3248758,0,898076;Time
0,0,4402726,0;0,01451899,0,4457251,0,2181211;0,04500383,0,484691,0,4311227;0,09312566,0,5093459,0,6430042;0,1674976,0,605993,0,8245131;0,2309325,0,7982737,0,7419208;0,3753517,0,9553791,0,6941891;0,5878345,1,0,6681633;0,7835219,0,9024725,0,6716604;0,8994621,0,7176297,0,6860974;0,9508948,0,5057654,0,7029959;0,9122693,0,2909035,0,7156343;0,799037,0,1038832,0,7200134;0,6066636,0,0,7242729;0,3900647,0,02852324,0,7336878;0,2259859,0,1728576,0,7416313;0,1333675,0,3708788,0,7364557;0,127147,0,5943804,0,7063786;0,127147,0,5943804,0,7063786;0,127147,0,5943804,0,7063786;Time
0,0,4289984,0;0,02058052,0,4679128,0,2057063;0,04481823,0,4807164,0,4142765;0,1063245,0,5196754,0,6116394;0,2589461,0,5671729,0,7484005;0,2158413,0,727352,0,6190266;0,2958556,0,9100888,0,5522591;0,4811089,1,0,5092455;0,685632,0,9507807,0,51007;0,8424169,0,8140136,0,5411541;0,953409,0,6370279,0,5658472;0,9864246,0,430004,0,5832836;0,9387322,0,2255177,0,5960812;0,7978534,0,07018232,0,6127247;0,6001236,0,0,6279008;0,392839,0,03538858,0,633707;0,238855,0,1786593,0,6297871;0,1575145,0,3709,0,6037071;0,1376856,0,5159652,0,5689905;0,1376856,0,5159652,0,5689905;Time
0,0,4377838,0;0,05498238,0,4848343,0,180861;0,1579596,0,453621,0,343246;0,1240385,0,5127651,0,1607664;0,2077947,0,6859321,0,1915171;0,2906198,0,8518103,0,1317516;0,4457115,0,9562149,0,07703654;0,6368683,0,9603581,0,03976154;0,8078607,0,8674281,0,03121064;0,9303453,0,7159665,0,03330296;1,0,5340636,0,03594648;0,9866506,0,3398345,0,04260917;0,909565,0,1612217,0,05274554;0,7688965,0,02735777,0,06824622;0,5769825,0,0,08743048;0,3870048,0,04150523,0,0989764;0,2327776,0,1604978,0,1004704;0,1433378,0,3328502,0,08489379;0,09538109,0,4553379,0,06347181;0,09538109,0,4553379,0,06347181;Time
0,04588851,0,2836948,0;0,01304727,0,2883072,0,1923124;0,0,2978828,0,3867911;0,01345532,0,3108413,0,5810459;0,03767814,0,3271108,0,774003;0,1115846,0,3463804,0,9535871;0,1771175,0,5242431,1;0,2440596,0,7014325,0,9530253;0,3923008,0,8240095,0,9201119;0,5869042,0,8231279,0,9055297;0,7335398,0,6956056,0,9234166;0,8195431,0,5218552,0,9457359;0,8517703,0,3303001,0,9644945;0,7967892,0,1432593,0,9732535;0,652678,0,01197356,0,9821917;0,4580931,0,0,9909809;0,2913074,0,1013032,0,9889659;0,1876581,0,2636199,0,9574384;0,1364002,0,3345041,0,9357935;0,1364002,0,3345041,0,9357935;Time
