0,0,0;0.1001934,-0.00729847,0.0266529;0.2035655,-0.01276326,0.03596509;0.3072627,-0.008526802,0.03036952;0.2906005,-0.1098604,0.01436195;0.1994957,-0.1589069,0.004526943;0.1052627,-0.1968414,-0.0174613;0.01071954,-0.2265884,-0.04875132;-0.06556085,-0.283035,-0.09114754;0.02854177,-0.3174903,-0.06358144;0.1298665,-0.3341738,-0.04753974;0.2326348,-0.3484278,-0.0413869;0.3352112,-0.3614657,-0.05189717;0.2774298,-0.2750813,-0.05308771;0.1991431,-0.206722,-0.05383724;0.1172107,-0.1429502,-0.05859089;0.04480019,-0.06985962,-0.07331738;-0.001773983,0.01071012,-0.09039277;-0.001773983,0.01071012,-0.09039277;-0.001773983,0.01071012,-0.09039277;
0,0,0;0.06415793,0.007106543,-0.0738447;0.1217217,0.01213014,-0.1530972;0.1648578,0.01781452,-0.2409991;0.1443388,-0.07672071,-0.2248174;0.09673518,-0.1271068,-0.1554278;0.04665649,-0.1791599,-0.08907726;-0.01026416,-0.2359862,-0.03294713;0.01496023,-0.3057165,-0.09714372;0.0640884,-0.3134881,-0.1816766;0.1012005,-0.3283187,-0.2712452;0.1254888,-0.3604901,-0.3606592;0.09051353,-0.2963474,-0.2952204;0.06837815,-0.2271724,-0.2293067;0.04591948,-0.1488614,-0.1746918;0.01216707,-0.07684386,-0.1172981;-0.03090972,-0.008146048,-0.06211855;-0.05126092,0.01584136,-0.03410779;-0.05126092,0.01584136,-0.03410779;-0.05126092,0.01584136,-0.03410779;
0,0,0;0.09485491,-0.00565362,-0.02316904;0.1850765,-0.01074982,-0.06058989;0.2732539,-0.02452993,-0.1006033;0.2539784,-0.09320068,-0.03367786;0.1876447,-0.1335537,0.02580063;0.1173844,-0.1782768,0.07707986;0.04670472,-0.230715,0.1197511;0.1254861,-0.2882226,0.1270036;0.2192295,-0.3015369,0.1024858;0.3085574,-0.3152311,0.06507953;0.390783,-0.335639,0.01620537;0.3212865,-0.2672077,0.008882836;0.2429332,-0.2094887,0.01865551;0.1647277,-0.1508026,0.01619425;0.08716932,-0.09291124,0.002069846;0.01228568,-0.0383203,-0.02921112;-0.01201428,-0.02362466,-0.04342925;-0.01201428,-0.02362466,-0.04342925;-0.01201428,-0.02362466,-0.04342925;
0,0,0;0.04356962,-0.001081109,0.09437016;0.1000983,-0.006785631,0.1814171;0.170671,-0.01485407,0.2573092;0.2466713,-0.0431838,0.3223214;0.1786331,-0.08626461,0.2565943;0.1161251,-0.1164597,0.1792237;0.06802636,-0.1490101,0.0930135;0.03266376,-0.1815037,0.0008242279;0.03844827,-0.2840158,-0.01539378;0.08876288,-0.310856,0.07151571;0.1488686,-0.3274304,0.1546891;0.2207043,-0.3410051,0.2285847;0.2224733,-0.237682,0.2398283;0.1622885,-0.1714005,0.18701;0.1091055,-0.1054848,0.1267446;0.06548178,-0.04413962,0.05505814;0.03541934,0.01421225,-0.02554289;0.03414184,0.03268301,-0.04627642;0.03414184,0.03268301,-0.04627642;
0,0,0;-0.09282741,-0.04256892,0.02228445;-0.1911557,-0.0779953,0.02375135;-0.2864335,-0.1198246,0.01384726;-0.3728821,-0.1747308,-0.007071316;-0.3065312,-0.2543719,0.006363541;-0.2047599,-0.2741385,0.01968738;-0.1009024,-0.2858497,0.02113622;-0.1129134,-0.1820965,0.02521604;-0.1909666,-0.1125771,0.02459612;-0.276406,-0.05364609,0.01223218;-0.3561893,0.00745225,-0.0165301;-0.43607,0.06119156,-0.05723381;-0.3357413,0.0467304,-0.03172567;-0.2339748,0.0366658,-0.01009449;-0.1299877,0.02899539,-0.002781302;-0.02640627,0.02583086,-0.01643801;0.005686183,0.02821004,-0.02497086;0.005686183,0.02821004,-0.02497086;0.005686183,0.02821004,-0.02497086;
0,0,0;-0.04966348,-0.05460179,0.04489201;-0.1058865,-0.1093303,0.08104283;-0.1655582,-0.165738,0.1078864;-0.226098,-0.2240679,0.1277778;-0.2836286,-0.2878064,0.1373039;-0.203727,-0.3057892,0.1098182;-0.1253395,-0.3106321,0.07383122;-0.05145589,-0.310663,0.02906151;-0.03352895,-0.2270367,0.01688017;-0.0866116,-0.1700199,0.05422232;-0.1396953,-0.1085144,0.08358763;-0.1977915,-0.04829991,0.1050855;-0.264506,0.004118204,0.1213529;-0.1913858,0.0280261,0.0820471;-0.1159247,0.03142047,0.04012778;-0.04365379,0.0273639,-0.007026955;0.003246158,0.02971053,-0.05294405;0.003246158,0.02971053,-0.05294405;0.003246158,0.02971053,-0.05294405;
0,0,0;-0.004485071,0.001734257,-0.1052104;-0.02516097,0.002696395,-0.2084767;-0.06189224,0.002242208,-0.3071831;-0.1108702,-0.005923867,-0.4000639;-0.1069301,-0.06190705,-0.310942;-0.08731782,-0.1115404,-0.2201442;-0.0770359,-0.1661494,-0.1306763;-0.07696971,-0.2264895,-0.04435474;-0.09134927,-0.2944856,0.0347788;-0.08900663,-0.3355453,-0.06217974;-0.1045194,-0.3483309,-0.1655636;-0.133269,-0.3532927,-0.2667624;-0.1346816,-0.2490691,-0.2516692;-0.09658021,-0.1798867,-0.1819955;-0.076318,-0.1118162,-0.1042254;-0.06908044,-0.03902185,-0.02845633;-0.07108015,0.01733124,0.02945948;-0.07108015,0.01733124,0.02945948;-0.07108015,0.01733124,0.02945948;
0.007337138,0.9176126,0.3316739;0.2488934,0.9436884,0.4106264;0.5023676,0.9497414,0.4418844;0.7578244,0.9518126,0.4412258;1,0.8780656,0.4069438;0.860847,0.6678703,0.3655041;0.6411524,0.5414625,0.3335946;0.4136496,0.4379919,0.2806871;0.1934851,0.336438,0.2002059;0,0.2069499,0.09504302;0.188979,0.03565388,0.08064084;0.439489,0.005471195,0.1205985;0.6946481,0,0.1318585;0.7975661,0.2335905,0.1215486;0.6072344,0.4038909,0.1274226;0.4107208,0.5662923,0.1109592;0.2188529,0.7305532,0.07264521;0.04783792,0.9091285,0.008398469;0.01925649,0.9572088,0;0.01925649,0.9572088,0;
0.3467836,0.7507917,0.8968033;0.3961396,0.6937944,0.679467;0.4080243,0.6841754,0.4499328;0.3936207,0.6723983,0.2206434;0.3449829,0.6291478,0;0.2927946,0.5310006,0.2014032;0.2755761,0.4349349,0.4097169;0.2496107,0.3326956,0.6141495;0.2055983,0.2205326,0.810114;0.1349419,0.1115797,1;0.1051593,0.01556297,0.7930857;0.1104748,0.00737162,0.5632502;0.09702046,0,0.3337194;0.05839501,0.2111265,0.416505;0.05663093,0.356521,0.5947663;0.03564713,0.5167587,0.7584832;0.003492095,0.7021225,0.8908692;0,0.7450412,0.8810771;0,0.7450412,0.8810771;0,0.7450412,0.8810771;
0,0,0;0.008432209,-0.009783387,-0.08971102;0.01048696,-0.005844593,-0.1802381;0.007252574,-0.001673341,-0.2707202;0.004102111,-0.007619143,-0.3611061;-0.00658989,-0.066733,-0.2932377;-0.01761734,-0.116668,-0.2184061;-0.03851122,-0.1639498,-0.1439564;-0.06682861,-0.2140659,-0.07394642;-0.09982741,-0.266632,-0.007895164;-0.09776711,-0.3018377,-0.09138884;-0.08854097,-0.3041468,-0.1815245;-0.08690536,-0.3095312,-0.2719856;-0.09915155,-0.2260348,-0.2389212;-0.1004936,-0.1602019,-0.1766386;-0.1068019,-0.09745419,-0.1115401;-0.1183279,-0.02894878,-0.05332457;-0.1186371,-0.009652972,-0.05278786;-0.1186371,-0.009652972,-0.05278786;-0.1186371,-0.009652972,-0.05278786;
0,0,0;0.08060783,-0.0125494,0.05134565;0.1676451,-0.01369345,0.09275442;0.2601316,-0.01978302,0.1192244;0.2176974,-0.08681655,0.06447649;0.1446113,-0.1296114,0.01844922;0.07366979,-0.1692454,-0.03339601;0.00626713,-0.2029127,-0.09351981;0.08169296,-0.2542033,-0.06234771;0.1668915,-0.2671752,-0.01916882;0.2569239,-0.2743424,0.01451027;0.3504255,-0.2862668,0.03467864;0.2948145,-0.2124175,0.007380515;0.2160256,-0.1635766,-0.0190461;0.1406919,-0.1125367,-0.0508464;0.07967255,-0.04592335,-0.08447346;0.05039585,-0.001977801,-0.1014428;0.05039585,-0.001977801,-0.1014428;0.05039585,-0.001977801,-0.1014428;0.05039585,-0.001977801,-0.1014428;
0,0,0;0.09959818,-0.02043116,0.05300063;0.213086,-0.02335632,0.06907099;0.3276926,-0.02034009,0.06748146;0.4396737,-0.01211011,0.04426962;0.3598371,-0.08998418,0.01766083;0.2682637,-0.1570202,0.001327395;0.1742544,-0.2166744,-0.02605748;0.07964309,-0.2707092,-0.06176782;-0.002954245,-0.331367,-0.1131935;0.1053372,-0.3655881,-0.09744003;0.2181233,-0.3684515,-0.07700963;0.332567,-0.3691444,-0.07004985;0.44687,-0.3669792,-0.07879329;0.3558815,-0.3045014,-0.0477463;0.261169,-0.2436744,-0.02593079;0.1678585,-0.177743,-0.01631451;0.07816955,-0.1063861,-0.01953861;0.01393902,-0.01312351,-0.03750634;0.003000677,-0.0003701448,-0.04437771;
0,0,0;0.07986039,-0.01192379,-0.0885506;0.1423919,-0.0185771,-0.1905634;0.1873514,-0.02627492,-0.3013806;0.2111351,-0.03652465,-0.4183863;0.1636353,-0.1384497,-0.3769603;0.1143253,-0.2013099,-0.2876397;0.05020148,-0.2540525,-0.2012255;-0.02588022,-0.3049225,-0.1238635;-0.114134,-0.3513445,-0.05740041;-0.05266416,-0.3671554,-0.1590495;0.008543611,-0.3694494,-0.2620515;0.05351979,-0.3744481,-0.3730164;0.08096015,-0.3709322,-0.4896171;0.07016909,-0.2806373,-0.4115695;0.04689515,-0.2127537,-0.3155945;0.009019911,-0.1454463,-0.2239634;-0.03987384,-0.0731796,-0.1418173;-0.07234734,-0.02606738,-0.1072617;-0.07234734,-0.02606738,-0.1072617;
710.3314,1833.874,1.542591;760.7141,1794.033,0.9515999;819.6326,1772.207,0.9671424;881.6222,1761.956,0.9705474;827.3908,1730.227,0.9310039;765.0653,1722.269,0.8972978;702.2572,1720.557,0.8551562;749.8328,1679.516,0.8607883;808.9675,1658.282,0.8744081;870.3828,1645.017,0.878507;836.894,1698.18,0.8949886;797.6516,1747.249,0.8988402;760.3276,1797.794,0.8893827;725.7634,1850.264,0.8694862;699.5734,1893.737,0.8462623;699.5734,1893.737,0.8462623;699.5734,1893.737,0.8462623;699.5734,1893.737,0.8462623;699.5734,1893.737,0.8462623;699.5734,1893.737,0.8462623;
1130.53,1905.038,1.341094;1188.173,1868.24,1.494255;1254.577,1854.296,1.501361;1321.205,1841.47,1.49537;1284.187,1784.606,1.478507;1220.601,1760.926,1.465265;1155.011,1743.553,1.437797;1187.63,1684.057,1.407568;1253.934,1669.645,1.404887;1321.786,1669.525,1.390215;1303.643,1734.906,1.400257;1251.61,1778.454,1.416681;1206.414,1829.063,1.422017;1167.159,1884.406,1.415468;1138.326,1945.827,1.39925;1124.72,1992.646,1.382413;1124.72,1992.646,1.382413;1124.72,1992.646,1.382413;1124.72,1992.646,1.382413;1124.72,1992.646,1.382413;
0.08541211,0.4713812,0.003635292;0.2958098,0.351063,0.0008899766;0.5320805,0.3211595,0.0009138082;0.7698064,0.335461,0.0008721295;1,0.3965273,0.0007356191;0.7860888,0.2918367,0.0005168389;0.5586855,0.2210841,0.0004450781;0.3259507,0.1705603,0.0003249814;0.08915949,0.1451036,0.0001358688;0.3027512,0.03976294,0;0.5386507,0.007058196,1.905466E-05;0.7767019,0,5.563987E-06;0.6421884,0.1965304,0.0002634447;0.4291398,0.3029654,0.0003660296;0.2314406,0.4357556,0.0004023621;0.07004923,0.6108869,0.0003934269;0,0.684295,0.0003706493;0,0.684295,0.0003706493;0,0.684295,0.0003706493;0,0.684295,0.0003706493;
0,0.6431977,0.0009452085;0.2326038,0.5298851,0.0009262407;0.4849852,0.4751901,0.00100713;0.7417603,0.4477224,0.001001856;1,0.4477181,0.0008991567;0.7689318,0.332413,0.0006208962;0.5151187,0.2848035,0.0005062093;0.2600423,0.2445078,0.0003388937;0.002792504,0.2219134,7.202088E-05;0.2090952,0.06658436,0;0.4595739,0.003748959,4.828826E-05;0.7177866,0,4.836861E-05;0.9704901,0.05318748,1.862474E-05;0.7777202,0.2250236,0.0002258566;0.5643721,0.3705245,0.0003606182;0.3624956,0.5315641,0.0004332861;0.17953,0.7138038,0.0004420424;0.01550681,0.9177692,0.0003970621;0.01550681,0.9177692,0.0003970621;0.01550681,0.9177692,0.0003970621;
0.1804344,0.4464885,0.003081852;0.3766069,0.3542069,0.0005782698;0.5840538,0.3079899,0.0006077046;0.7915723,0.3538828,0.0005605352;1,0.3954526,0.0004498883;0.845299,0.2497211,0.0003725865;0.6370344,0.2073424,0.0003505339;0.4245113,0.2053288,0.0003018532;0.2121443,0.2137194,0.0002016697;0,0.2265599,1.973531E-05;0.1539969,0.08008429,0;0.3556301,0.01289641,3.926044E-05;0.5677712,0,5.287503E-05;0.7723583,0.05756975,3.313924E-05;0.6355575,0.2202215,5.998672E-05;0.4366928,0.2952078,0.0001117423;0.2690352,0.4258259,0.0001220472;0.1772942,0.6175383,0.0001064009;0.1768828,0.690177,9.72831E-05;0.1768828,0.690177,9.72831E-05;
0.08246987,0.6273487,0.0009455178;0.2933348,0.5136659,0.0005899303;0.5239242,0.4520709,0.0006517777;0.7618673,0.4334053,0.0006411244;1,0.4173366,0.0005293237;0.7776536,0.3305762,0.0004606007;0.5455564,0.2749328,0.0003774733;0.3101253,0.2357236,0.0002290865;0.0718163,0.2225313,0;0.2777554,0.1018898,3.429163E-05;0.5086281,0.04136531,8.767845E-05;0.7436905,0,7.781244E-05;0.9799217,0.03406012,1.53615E-05;0.7929867,0.1824538,0.0001068642;0.5903935,0.3086338,0.0001862818;0.4097399,0.4646131,0.0002053169;0.2457971,0.6380724,0.0001722084;0.1053957,0.8310819,9.256713E-05;0,0.9621757,2.498319E-05;0,0.9621757,2.498319E-05;
0,0.3217421,0;0.2052658,0.3188101,0.004998474;0.412791,0.312471,0.004612518;0.2345901,0.2059282,0.004602568;0.06404361,0.08751801,0.004446579;0.2523187,0,0.004260431;0.4197595,0.1227595,0.003400803;0.5849695,0.2485052,0.002550669;0.7924853,0.2418638,0.002772358;1,0.2485458,0.002996487;0.8604788,0.4022998,0.003771815;0.7354891,0.5680817,0.004726538;0.80008,0.3698628,0.004544745;0.80008,0.3698628,0.004544745;0.80008,0.3698628,0.004544745;0.80008,0.3698628,0.004544745;0.80008,0.3698628,0.004544745;0.80008,0.3698628,0.004544745;0.80008,0.3698628,0.004544745;0.80008,0.3698628,0.004544745;
0.240391,0.6667858,0;0.4743126,0.5648983,0.0007605634;0.7215927,0.5224597,0.0007697363;0.9712092,0.4971615,0.000707343;0.7380655,0.4044663,0.0005730371;0.4937298,0.3474702,0.0004758358;0.2472803,0.3004488,0.0003373548;0,0.2580132,0.0001271858;0.1895493,0.09363709,0.0001515337;0.4317387,0.02811866,0.0002011725;0.6813537,0.002804618,0.0001987373;0.9322333,0,0.0001629726;0.7853071,0.2033745,0.0002368048;0.5876706,0.3579325,0.000285608;0.4184861,0.5432029,0.0002890698;0.2831403,0.7544606,0.0002445863;0.1736744,0.9802163,0.0001833461;0.1693281,1,0.0001767278;0.1693281,1,0.0001767278;0.1693281,1,0.0001767278;
0.2085203,0.6028478,0.001045464;0.3414111,0.4397041,0.0003785301;0.4978635,0.3021637,0.0004321563;0.2927836,0.3387277,0.0002429915;0.1360276,0.475922,0.0001322299;0,0.6336914,1.877133E-05;0.06688436,0.4364067,0;0.1953442,0.2724165,4.46476E-05;0.3437009,0.1261804,6.732011E-05;0.5094515,0,5.759393E-05;0.4123349,0.1842907,0.0001597123;0.3092558,0.3653141,0.0001893974;0.2343538,0.5596962,0.0001827132;0.1799243,0.7607737,0.0001587996;0.1385493,0.9649375,0.0001207195;0.1287853,1,0.0001157331;0.1287853,1,0.0001157331;0.1287853,1,0.0001157331;0.1287853,1,0.0001157331;0.1287853,1,0.0001157331;
1004.698,1545.684,1.913356;1049.55,1526.276,1.357584;1096.748,1519.729,1.347022;1144.305,1516.762,1.32556;1191.632,1522.299,1.290928;1146.811,1506.127,1.294351;1102.252,1489.243,1.299125;1056.614,1475.546,1.291295;1010.03,1465.525,1.270276;962.7079,1459.945,1.228915;1007.454,1443.565,1.226841;1054.038,1433.546,1.229896;1100.664,1423.719,1.223991;1147.177,1413.377,1.200511;1116.283,1449.654,1.247026;1079.819,1480.328,1.277979;1047.093,1514.961,1.293132;1019.17,1553.573,1.297105;999.64,1578.209,1.303174;999.64,1578.209,1.303174;
938.1088,1520.492,1.918712;984.1469,1496.033,1.344882;1033.224,1479.72,1.364518;1084.326,1471.762,1.365461;1135.995,1469.527,1.334346;1085.656,1457.665,1.315711;1036.274,1442.298,1.291516;985.6699,1431.627,1.248655;934.0099,1429.192,1.188863;975.3669,1398.139,1.159116;1026.136,1388.283,1.169217;1077.697,1384.258,1.162806;1128.898,1391.546,1.132462;1090.352,1426.026,1.159494;1049.652,1457.936,1.183991;1009.6,1490.655,1.198172;974.5518,1528.685,1.202363;945.9282,1571.759,1.195461;942.3759,1577.725,1.193056;942.3759,1577.725,1.193056;
1136.641,1535.594,1.828903;1189.174,1531.451,2.068656;1242.215,1526.899,2.056715;1294.933,1534.299,2.026654;1254.77,1499.357,1.993697;1207.584,1474.71,1.982893;1159.393,1452.091,1.957305;1109.339,1433.965,1.914588;1155.819,1408.011,1.897363;1207.964,1397.293,1.891085;1261.164,1395.359,1.875069;1314.212,1399.818,1.84285;1313.267,1453.045,1.856672;1268.824,1482.35,1.893927;1222.222,1508.083,1.929564;1179.644,1540.039,1.954675;1145.225,1580.65,1.962779;1138.85,1583.783,1.9654;1138.85,1583.783,1.9654;1138.85,1583.783,1.9654;
575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;575,-8082.114,0.15;
-922.097,3782.03,0.4465441;-703.704,3627.636,0.4769638;-459.5688,3518.408,0.5063788;-193.0505,3496.028,0.526526;-260.5692,3237.234,0.5275069;-509.6929,3139.919,0.4986351;-325.5362,2945.962,0.5283955;-72.91925,2858.112,0.5697355;188.1796,2800.144,0.6009997;45.80429,3026.556,0.5565397;-167.9711,3187.282,0.5227789;-371.2189,3361.13,0.4894409;-567.1741,3543.159,0.4580402;-756.6987,3731.874,0.4289153;-940.4316,3926.232,0.4031614;-1110.035,4133.036,0.3809654;-1211.302,4311.699,0.3664714;-1211.302,4311.699,0.3664714;-1211.302,4311.699,0.3664714;-1211.302,4311.699,0.3664714;
1296.847,1994.109,0.9363868;2342.464,2722.929,0.771354;3389.018,3450.405,0.6005574;4441.354,4169.491,0.4236095;5511.006,4862.557,0.3149733;6599.818,5525.114,0.2715582;7694.338,6178.201,0.2304967;8807.479,6799.018,0.1806549;7726.615,6123.57,0.2085348;6650.814,5440.089,0.2393383;5587.852,4736.806,0.2753125;4534.824,4018.733,0.3162362;3507.705,3264.066,0.3813258;2555.647,2416.669,0.5632651;2439.866,2008.405,0.6276363;2439.866,2008.405,0.6276363;2439.866,2008.405,0.6276363;2439.866,2008.405,0.6276363;2439.866,2008.405,0.6276363;2439.866,2008.405,0.6276363;
1929.33,-220.2605,-0.6889787;2369.226,-583.1053,-0.5511804;2769.558,-989.183,-0.4546015;3153.616,-1410.685,-0.3823901;2811.23,-954.6848,-0.431982;2457.101,-507.7422,-0.4987319;2069.176,-89.79642,-0.5784714;2555.04,-388.294,-0.4306857;3001.019,-743.636,-0.3572853;3434.055,-1114.64,-0.3029498;3858.791,-1495.12,-0.2609384;4273.807,-1886.178,-0.2301776;3782.825,-1596.174,-0.2701016;3323.231,-1258.627,-0.3181683;2876.554,-904.1641,-0.3844305;2421.244,-560.8591,-0.4841034;1941.026,-253.3605,-0.6421827;1823.871,-210.1268,-0.6914672;1823.871,-210.1268,-0.6914672;1823.871,-210.1268,-0.6914672;
